EA_ID,Rtn_Type,Mon_Point,Mon_Date,Parameter,Value,Unit
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,6,7,8-Hexachlorodibenzofuran",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,7,8,9-Hexachlorodibenzofuran",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,7,8-Pentachlorodibenzofuran",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3-Trichlorobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3-Trichloropropane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3-Trimethylbenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,4,5-Tetrachlorobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,4-Trichlorobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,4-Trimethylbenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Benzenedicarboxylic acid, mono(2-ethylhexyl) ester",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Benzenediol",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Diaminoethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dibromo-3-chloropropane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dibromoethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dichloro-1,1,2-trifluoroethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dichlorobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dichloroethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dichloroethene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dichloropropane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dichlorotetrafluoroethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Diethylaminoethanol",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Dimethylethylene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Epoxybutane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2-Ethanedione",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1(2H)-Acenaphthylenone,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3,5-Triazine",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3,5-Trichlorobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3,5 Trimethylbenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3,5-Trimethylbenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3,5-Trinitrobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Benzenedicarboxylic acid",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Butadiene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Dichloro-5,5-dimethylhydantoin",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Dichlorobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Dichloropropane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Dichloropropene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Dihydroxybutane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Dimethylbenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,3-Dinitrobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,13-Docosenamide (TIC),100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Benzenedicarbonyl chloride",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Benzenedicarboxylic acid",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Benzenedicarboxylic acid, dimethyl ester",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Benzoquinone",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Butanediol",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Diaminobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Dichlorobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-diethylbenzene + butylbenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Dinitrobenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Dioxane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,4-Naphthoquinone",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,6-Hexanolactam",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"16-(Thienylmethylene)Androstane-3,17-Diol SVOCS",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,17-alpha-ethinylestradiol (EE2),100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,17-beta-estradiol (E2),100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,8-Cineole",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Butanethiol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Chloro-4-nitrobenzene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Chlorobutane,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Decanethiol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Docosene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Ethyl-4-methylbenzene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Hexacosene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-(Hydroxyphenol)-2-methylpropane,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Isopropenylnaphthalene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Methoxy-2-propanol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Methoxypropyl acetate,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Methyl-2-pyrrolidone,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Methyl-4-(1-Methylethynyl)-Benzene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Methylethylbenzene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Methylnaphthalene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Methylpropyl acetate,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Methylpropylbenzene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Naphthylamine,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Napthol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Nitropropane,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Octene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Pentene,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1-Phenanthrenecarboxylic Acid 1,2,3,4,4A,5,9,1",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Propanethiol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1-propanol, 2,2'oxybis",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Propylamine,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,1-Tridecanol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,2-(2-(2-Ethoxyethoxy)ethoxy)ethanol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2',2-Nitrilotriethanol""",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’,5,5’,6-Nonachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’,5,5’-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’,5,6,6’-Nonachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’,5,6-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’,5.6’-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’,5-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’,6,6’-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,4’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5,5’,6,6’-Nonachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5,5’,6-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5,5’,6’-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5,5’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5,6,6-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5’,6,6’-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5,6’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5’,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5’,6’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,5’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,6,6’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,4-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,5,5’,6,6’-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,5,5’,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’3,3’,5,5’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,5,6,6’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,5,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,5-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,6,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’,6-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,3’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,5,5’,6-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,5,6,6’-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,5,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,5,6’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,5’,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,5-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,6,6’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,4’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,5,5’6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5,5’,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,5,5’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5,5’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,5,6,6’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5,6,6’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5’,6’-hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,5,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,5,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,5’,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5’,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,5-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,5’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,5’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,6,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,6,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,6-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4,6’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’,6-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4-tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,4’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,5,5’,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,5,5’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,5,6,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3’,5,6-pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’3’,5,6’-pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,5,6-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,5’,6-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’3,5,6’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,5-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,5’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’3’,6,6’-pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’3,6,6’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,6-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3,6’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,3-Trichlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,4’,5,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,4’,5-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’4,4’6,6’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,4’,6-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’4,4’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,5,6’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,5’,6-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,5-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,5’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,6,6’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,6-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4,6’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,4-Trichlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,5,6’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’5-Trichlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’6,6’-Tetrachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’,6-Trichlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,2.2'-bipyridine,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,2-(2-Butoxyethoxy)ethanol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2'-Dichloro-4,4'-methylenedianiline (MbOCA)",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2’Dichlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2-Dichloropane+1,2-Dichloroethylene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2-Dichloropropane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2 Dichloropropane + 1,2 Dichloroethylene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,2'-Dithiobisbenzothiazole",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,2-(2-Methoxyethoxy)ethanol,100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,4’,5,5’,6-Octachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,4’,5,5’-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,4’,5,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,4’,5’,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,4’,5’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,4’,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4’,4’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,5,5’,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4’,5,5’,6-Heptachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,5,5’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4’,5,5’-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,5,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,5’,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4’,5,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4’,5’,6-Hexachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,5-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,5’-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4’,5-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4,6-Pentachlorobiphenyl",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"2,3,3’,4’,6-Pentachlorobiphenyl",100,ug
